Date,actual,improved_scenario_1,improved_10%_scenario_1,improved_90%_scenario_1,improved_scenario_2,improved_10%_scenario_2,improved_90%_scenario_2,improved_scenario_3,improved_10%_scenario_3,improved_90%_scenario_3
2021/8/14,20,24.00334,18,30,19.99527,14,26,28.62068,22,36
2021/8/21,42,30.62777,21,40,42.05358,30,54,57.82469,44,72
2021/8/28,61,41.76711,28,56,61.05144,44,79,80.86871,61,101
2021/9/4,102,58.44806,40,78,102.03921,77,128,176.32417,144,209
2021/9/11,148,68.85895,46,93,148.04191,114,183,330.45697,282,379
2021/9/18,212,78.96798,52,107,212.06536,168,257,597.86457,529,668
2021/9/25,269,89.16453,58,121,269.07569,215,324,919.03337,827,1012
2021/10/2,347,106.67494,70,144,347.10417,282,413,1362.82177,1244,1483
2021/10/9,412,125.20157,83,168,412.10278,337,488,1756.74417,1613,1902
2021/10/16,448,142.4032,95,191,448.09627,365,532,1945.51097,1784,2108
2021/10/23,477,155.03791,103,208,477.09511,387,568,2191.30127,2010,2374
2021/10/30,494,164.93306,109,222,494.07801,399,590,2344.75327,2148,2543
2021/11/6,519,178.61438,118,241,519.07836,418,622,2573.66397,2358,2791
2021/11/13,531,185.72233,122,252,531.10961,426,639,2728.96247,2497,2962
2021/11/20,542,192.94966,126,263,542.1367,433,654,2852.63227,2607,3100
2021/11/27,548,198.94871,129,272,548.176,436,663,2960.20277,2701,3221
2021/12/4,552,199.99461,129,274,552.18278,438,670,2960.20277,2701,3221
2021/12/11,563,208.71054,134,287,563.34388,445,686,3052.96019,2782,3326
2021/12/18,567,212.06477,135,293,567.44177,447,693,3100.87837,2821,3383
2021/12/25,575,219.25299,139,304,575.7068,452,705,3100.87837,2821,3383
2022/1/1,597,237.94088,152,328,598.63458,469,734,3253.25607,2958,3551
2022/1/8,669,307.22345,211,408,677.07368,536,824,3704.29197,3382,4029
2022/1/15,812,440.67935,330,556,819.50528,663,982,4642.20347,4281,5006
2022/1/22,1046,662.80405,533,797,1074.07728,897,1257,5910.23447,5504,6320
2022/1/29,1422,1021.05795,867,1180,1479.35418,1277,1688,8052.63147,7587,8522
2022/2/5,1640,1234.00425,1061,1412,1750.58308,1527,1980,9093.10347,8586,9604
2022/2/12,1812,1395.07835,1206,1589,1986.65168,1743,2236,10472.67647,9918,11031
2022/2/19,1955,1534.69995,1331,1744,2233.97838,1970,2504,11548.43947,10952,12149
2022/2/26,2015,1593.63308,1380,1813,2355.91828,2078,2640,11926.19887,11305,12552
2022/3/5,2068,1643.79945,1421,1872,2440.44638,2151,2736,12176.10567,11535,12822
2022/3/12,2116,1691.1008,1460,1928,2563.19508,2260,2873,12464.09257,11801,13132
2022/3/19,2160,1731.54355,1492,1977,2680.13238,2363,3004,12912.07647,12222,13607
2022/3/26,2196,1766.97065,1520,2020,2752.87092,2425,3088,13096.13437,12389,13809
2022/4/2,2267,1834.16918,1577,2098,2934.86592,2590,3287,13699.59927,12961,14444
2022/4/9,2339,1900.27565,1633,2175,3115.54152,2754,3485,14218.34547,13451,14992
2022/4/16,2422,1979.26606,1701,2266,3300.26082,2921,3687,15011.37727,14208,15821
2022/4/23,2500,2048.00565,1759,2346,3447.05062,3052,3849,15640.14967,14805,16482
2022/4/30,2581,2125.6254,1825,2435,3579.81042,3170,3997,16077.07127,15215,16946
2022/5/7,2682,2221.63052,1909,2544,3762.33472,3335,4197,16768.86177,15873,17672
2022/5/14,2770,2307.7209,1983,2642,3909.55912,3467,4360,17297.64047,16372,18230
2022/5/21,2855,2392.32302,2056,2738,4113.16122,3652,4582,17804.67047,16850,18766
2022/5/28,2952,2489.19447,2140,2848,4285.91092,3808,4772,18289.83737,17307,19280
2022/6/4,3035,2581.04803,2220,2952,4485.60882,3990,4990,19022.71937,18005,20048
2022/6/11,3113,2659.89187,2288,3042,4645.04162,4133,5166,19456.88367,18413,20509
2022/6/18,3188,2733.98791,2351,3127,4743.49975,4219,5277,19497.81497,18446,20558
2022/6/25,3291,2839.64771,2444,3246,4924.23705,4383,5475,20016.84547,18936,21106
2022/7/2,3403,2961.23451,2552,3382,5160.18585,4599,5731,20736.02467,19621,21860
2022/7/9,3495,3055.53537,2634,3489,5354.28325,4775,5943,21247.89457,20104,22401
