Date,No dose,One dose,Two doses,Three or more doses,Date,NSW - Residence state - Number of people 50 and over with 1 dose,NSW - Residence state - Number of people 50 and over fully vaccinated,NSW - Residence state - Number of people 50 and over with three doses,,NSW - Residence state - Number of people 50 and over with three doses,Date,death_rate_0,death_rate_1,death_rate_2,death_rate_3,N_eff,N_ieff,r_2a,e,simple_death,1,2,3,4,5,6,mean,PI(2.5%),PI(97.5%),PI(10%),PI(90%)
2021/8/14,11,3,6,0,2021/7/28,1776096,722229,0,722229,0,2021/8/14,0.991120462,0.284665902,0.830761434,,722229,0,0.830761434,1,23.97536791,9.91E-06,0,8.31E-06,2885951,0,0,24.00334,15,34,18,30
2021/8/21,10,10,2,0,2021/8/4,1891054,869282,0,147053,0,2021/8/21,1.005129174,0.97869192,0.230074935,,869282,0,0.230074935,1,6.639849891,1.01E-05,0,2.30E-06,2885951,0,0,6.62443,2,12,3,10
2021/8/28,7,8,4,0,2021/8/11,2010312,1036015,0,166733,0,2021/8/28,0.799416198,0.821104858,0.386094796,,1036015,0,0.386094796,1,11.14250663,7.99E-06,0,3.86E-06,2885951,0,0,11.13934,5,18,7,16
2021/9/4,25,9,7,0,2021/8/18,2131524,1210778,0,174763,0,2021/9/4,3.313773235,0.97746827,0.578140667,,1210778,0,0.578140667,1,16.68485636,3.31E-05,0,5.78E-06,2885951,0,0,16.68095,9,25,12,22
2021/9/11,34,7,5,0,2021/8/25,2250256,1386786,0,176008,0,2021/9/11,5.348476864,0.810682479,0.360545895,,1386786,0,0.360545895,1,10.40517787,5.35E-05,0,3.61E-06,2885951,0,0,10.41089,5,17,6,15
2021/9/18,50,9,5,0,2021/9/1,2347662,1534366,0,147580,0,2021/9/18,9.288690648,1.106608172,0.325867492,,1530754.855,3611.145,0.30472364,0.995,9.404376142,9.29E-05,14429.755,3.05E-06,2871521.245,0,0,10.10903,4,17,6,14
2021/9/25,49,3,5,0,2021/9/8,2447734,1691736,0,157370,0,2021/9/25,11.18167483,0.396826447,0.295554389,,1683778.445,7957.555,0.244106467,0.99,8.529554847,0.000111817,28859.51,2.44E-06,2857091.49,0,0,10.19655,4,17,6,14
2021/10/2,56,13,9,0,2021/9/15,2524418,1847221,0,155485,0,2021/10/2,15.48959569,1.91967773,0.487218367,,1834083.37,13137.63,0.379755596,0.985,14.06088334,0.000154896,43289.265,3.80E-06,2842661.735,0,0,17.51041,10,26,12,23
2021/10/9,42,13,10,0,2021/9/22,2581534,1991630,0,144409,0,2021/10/9,13.79686417,2.203748407,0.502101294,,1972438.48,19191.52,0.372745316,0.98,14.49039731,0.000137969,57719.02,3.73E-06,2828231.98,0,0,18.52663,11,27,13,24
2021/10/16,17,8,11,0,2021/9/29,2629394,2128851,0,137221,0,2021/10/16,6.626207821,1.598264285,0.516710658,,2102725.55,26125.45,0.440802814,0.975,14.91201639,6.63E-05,72148.775,4.41E-06,2813802.225,0,0,17.20163,10,26,12,23
2021/10/23,19,3,7,0,2021/10/6,2666404,2243112,0,114261,0,2021/10/23,8.654183387,0.708730616,0.312066451,,2209314.72,33797.28,0.184451829,0.97,9.006084853,8.65E-05,86578.53,1.84E-06,2799372.47,0,0,12.63471,6,20,8,17
