Date,No dose,One dose,Two doses,Three or more doses,Date,NSW - Residence state - Number of people 50 and over with 1 dose,NSW - Residence state - Number of people 50 and over fully vaccinated,NSW - Residence state - Number of people 50 and over with three doses,Date,death_rate_0,death_rate_1,death_rate_2,death_rate_3,N_eff,N_ieff,r_2a,e,1,2,3,4,5,6,d_simple,mean,PI(2.5%),PI(97.5%)
2021/8/14,11,3,6,0,2021/7/21,1629773,562037,0,2021/8/14,8.76E-06,2.81E-06,1.07E-05,,562037,0,1.07E-05,1,8.76E-06,0,1.07E-05,2885951,0,0,30.80883643,30.89353,21,42
2021/8/21,10,10,2,0,2021/7/28,1776096,722229,0,2021/8/21,9.01E-06,9.49E-06,2.77E-06,,722229,0,2.77E-06,1,9.01E-06,0,2.77E-06,2885951,0,0,7.991789308,7.98487,3,14
2021/8/28,7,8,4,0,2021/8/4,1891054,869282,0,2021/8/28,7.04E-06,7.83E-06,4.60E-06,,869282,0,4.60E-06,1,7.04E-06,0,4.60E-06,2885951,0,0,13.2796998,13.2636,7,21
2021/9/4,25,9,7,0,2021/8/11,2010312,1036015,0,2021/9/4,2.86E-05,9.24E-06,6.76E-06,,1036015,0,6.76E-06,1,2.86E-05,0,6.76E-06,2885951,0,0,19.49938659,19.46398,11,29
2021/9/11,34,7,5,0,2021/8/18,2131524,1210778,0,2021/9/11,4.51E-05,7.60E-06,4.13E-06,,1210778,0,4.13E-06,1,4.51E-05,0,4.13E-06,2885951,0,0,11.91775453,11.90918,6,19
2021/9/18,50,9,5,0,2021/8/25,2250256,1386786,0,2021/9/18,7.87E-05,1.04E-05,3.61E-06,,1383975.815,2810.185,3.45E-06,0.995,7.87E-05,14429.755,3.45E-06,2871521.245,0,0,10.40517787,11.0325,5,18
2021/9/25,49,3,5,0,2021/9/1,2347662,1534366,0,2021/9/25,9.10E-05,3.69E-06,3.26E-06,,1527944.67,6421.33,2.89E-06,0.99,9.10E-05,28859.51,2.89E-06,2857091.49,0,0,9.40437614,10.89045,5,18
2021/10/2,56,13,9,0,2021/9/8,2447734,1691736,0,2021/10/2,0.000127791,1.72E-05,5.32E-06,,1680968.26,10767.74,4.54E-06,0.985,1.28E-04,43289.265,4.54E-06,2842661.735,0,0,15.35319873,18.429,11,27
2021/10/9,42,13,10,0,2021/9/15,2524418,1847221,0,2021/10/9,0.000116172,1.92E-05,5.41E-06,,1831273.185,15947.815,4.45E-06,0.98,1.16E-04,57719.02,4.45E-06,2828231.98,0,0,15.62320372,19.2819,11,28
2021/10/16,17,8,11,0,2021/9/22,2581534,1991630,0,2021/10/16,5.58E-05,1.36E-05,5.52E-06,,1969628.295,22001.705,4.96E-06,0.975,5.58E-05,72148.775,4.96E-06,2813802.225,0,0,15.93943704,17.98087,10,27
2021/10/23,19,3,7,0,2021/9/29,2629394,2128851,0,2021/10/23,7.41E-05,5.99E-06,3.29E-06,,2099915.365,28935.635,2.31E-06,0.97,7.41E-05,86578.53,2.31E-06,2799372.47,0,0,9.489464974,12.87369,6,20
2021/10/30,10,1,6,0,2021/10/6,2666404,2243112,0,2021/10/30,4.55E-05,2.36E-06,2.67E-06,,2206504.535,36607.465,1.96E-06,0.965,4.55E-05,101008.285,1.96E-06,2784942.715,0,0,7.7195013,10.05214,4,17
2021/11/6,13,4,8,0,2021/10/13,2701120,2380752,0,2021/11/6,7.03E-05,1.25E-05,3.36E-06,,2335685.855,45066.145,2.07E-06,0.96,7.03E-05,115438.04,2.07E-06,2770512.96,0,0,9.697611511,13.85215,7,22
2021/11/13,8,2,2,0,2021/10/20,2725076,2487498,2098.7855,2021/11/13,4.97E-05,8.42E-06,8.05E-07,0,2431191.41,54207.80465,0,0.955,4.97E-05,129773.3497,0.00E+00,2754078.865,0,2098.7855,2.320635009,6.45454,2,12
2021/11/20,6,1,4,0,2021/10/27,2740292,2563007,6918.727729,2021/11/20,4.12E-05,5.64E-06,1.56E-06,0,2492173.809,63914.46361,5.49E-07,0.95,4.12E-05,143951.6136,5.49E-07,2735080.659,0,6918.727729,4.505372218,7.43269,3,13
2021/11/27,5,1,0,0,2021/11/3,2748931,2624704,14697.10864,2021/11/27,3.65E-05,8.05E-06,0,0,2535910.577,74096.31402,0,0.945,3.65E-05,157918.964,0.00E+00,2713334.927,0,14697.10864,0,5.74755,2,11
