Date,Death,simple,improved,improved_10%,improved_90%
2021/8/14,20,20,19.99527,14,26
2021/8/21,22,22,22.05831,16,28
2021/8/28,19,19,18.99786,14,25
2021/9/4,41,41.00000001,40.98777,33,49
2021/9/11,46,46,46.0027,37,55
2021/9/18,64,64,64.02345,54,74
2021/9/25,57,56.99999999,57.01033,47,67
2021/10/2,78,77.99999997,78.02848,67,89
2021/10/9,65,65,64.99861,55,75
2021/10/16,36,36.00000001,35.99349,28,44
2021/10/23,29,29.00000001,28.99884,22,36
2021/10/30,17,17,16.9829,12,22
2021/11/6,25,25.00675558,25.00035,19,32
2021/11/13,12,12.00541352,12.03125,8,17
2021/11/20,11,11.02252424,11.02709,7,15
2021/11/27,6,6.000000001,6.0393,3,9
2021/12/4,4,4.015573108,4.00678,2,7
2021/12/11,11,11.13150829,11.1611,7,16
2021/12/18,4,4.028398898,4.09789,2,7
2021/12/25,8,8.261840992,8.26503,5,12
2022/1/1,22,22.72740038,22.92778,17,29
2022/1/8,72,77.29953699,78.4391,67,90
2022/1/15,143,138.7240083,142.4316,127,158
2022/1/22,234,248.014836,254.572,234,275
2022/1/29,376,386.176005,405.2769,380,431
2022/2/5,218,256.4495426,271.2289,250,292
2022/2/12,169,204.9930782,236.0686,216,256
2022/2/19,146,217.5556361,247.3267,227,268
2022/2/26,60,110.2513628,121.9399,108,136
2022/3/5,53,75.51299966,84.5281,73,96
2022/3/12,48,112.5542299,122.7487,109,137
2022/3/19,44,96.0679363,116.9373,103,131
2022/3/26,36,64.7525225,72.73854,62,84
2022/4/2,71,151.15301,181.995,165,199
2022/4/9,72,153.6252249,180.6756,164,198
2022/4/16,83,135.8702806,184.7193,167,202
2022/4/23,78,105.035119,146.7898,131,162
2022/4/30,81,104.0076942,132.7598,118,148
2022/5/7,101,133.0493735,182.5243,165,200
2022/5/14,88,107.7233133,147.2244,132,163
2022/5/21,85,167.7281744,203.6021,185,222
2022/5/28,97,135.0616038,172.7497,156,190
2022/6/4,83,93.82116042,199.6979,182,218
2022/6/11,78,122.0379496,159.4328,143,176
2022/6/18,75,100.254416,98.45813,86,111
2022/6/25,103,132.1198291,180.7373,164,198
2022/7/2,112,136.8455269,235.9488,216,256
2022/7/9,92,141.4893265,194.0974,176,212
