Date,No dose,One dose,Two doses,Three or more doses,Date,NSW - Residence state - Number of people 50 and over with 1 dose,NSW - Residence state - Number of people 50 and over fully vaccinated,NSW - Residence state - Number of people 50 and over with three doses,Date,death_rate_0,death_rate_1,death_rate_2,death_rate_3,r_2a,N_b_eff,N_b_i_eff,1,2,3,4,5,6,7,8,9,10,simple_death,mean,PI(2.5%),PI(97.5%),PI(10%),PI(90%)
2021/8/14,11,3,6,0,2021/7/28,1776096,722229,0,2021/8/14,0.991120462,0.284665902,0.830761434,,0.830761434,0,0,9.91E-06,1109855,2.85E-06,1053867,8.31E-06,722229,8.31E-06,0,9.91E-06,0,20,19.99527,12,29,14,26
2021/8/21,10,10,2,0,2021/8/4,1891054,869282,0,2021/8/21,1.005129174,0.97869192,0.230074935,,0.230074935,0,0,1.01E-05,994897,9.79E-06,1021772,2.30E-06,869282,2.30E-06,0,1.01E-05,0,22,22.05831,13,32,16,28
2021/8/28,7,8,4,0,2021/8/11,2010312,1036015,0,2021/8/28,0.799416198,0.821104858,0.386094796,,0.386094796,0,0,7.99E-06,875639,8.21E-06,974297,3.86E-06,1036015,3.86E-06,0,7.99E-06,0,19,18.99786,11,28,14,25
2021/9/4,25,9,7,0,2021/8/18,2131524,1210778,0,2021/9/4,3.313773235,0.97746827,0.578140667,,0.578140667,0,0,3.31E-05,754427,9.77E-06,920746,5.78E-06,1210778,5.78E-06,0,3.31E-05,0,41.00000001,40.98777,29,54,33,49
2021/9/11,34,7,5,0,2021/8/25,2250256,1386786,0,2021/9/11,5.348476864,0.810682479,0.360545895,,0.360545895,0,0,5.35E-05,635695,8.11E-06,863470,3.61E-06,1386786,3.61E-06,0,5.35E-05,0,46,46.0027,33,60,37,55
2021/9/18,50,9,5,0,2021/9/1,2347662,1534366,0,2021/9/18,9.288690648,1.106608172,0.325867492,,0.30472364,0,0,9.29E-05,538289,1.11E-05,813296,3.26E-06,1534366,3.05E-06,0,9.29E-05,0,64,64.02345,49,80,54,74
2021/9/25,49,3,5,0,2021/9/8,2447734,1691736,0,2021/9/25,11.18167483,0.396826447,0.295554389,,0.244106467,0,0,0.000111817,438217,3.97E-06,755998,2.96E-06,1691736,2.44E-06,0,0.000111817,0,56.99999999,57.01033,43,72,47,67
2021/10/2,56,13,9,0,2021/9/15,2524418,1847221,0,2021/10/2,15.48959569,1.91967773,0.487218367,,0.379755596,0,0,0.000154896,361533,1.92E-05,677197,4.87E-06,1847221,3.80E-06,0,0.000154896,0,77.99999997,78.02848,61,96,67,89
2021/10/9,42,13,10,0,2021/9/22,2581534,1991630,0,2021/10/9,13.79686417,2.203748407,0.502101294,,0.372745316,0,0,0.000137969,304417,2.20E-05,589904,5.02E-06,1991630,3.73E-06,0,0.000137969,0,65,64.99861,50,81,55,75
2021/10/16,17,8,11,0,2021/9/29,2629394,2128851,0,2021/10/16,6.626207821,1.598264285,0.516710658,,0.440802814,0,0,6.63E-05,256557,1.60E-05,500543,5.17E-06,2128851,4.41E-06,0,6.63E-05,0,36.00000001,35.99349,25,48,28,44
2021/10/23,19,3,7,0,2021/10/6,2666404,2243112,0,2021/10/23,8.654183387,0.708730616,0.312066451,,0.184451829,0,0,8.65E-05,219547,7.09E-06,423292,3.12E-06,2243112,1.84E-06,0,8.65E-05,0,29.00000001,28.99884,19,40,22,36
2021/10/30,10,1,6,0,2021/10/13,2701120,2380752,0,2021/10/30,5.410347831,0.312141038,0.25202121,,0.158811712,0,0,5.41E-05,184831,3.12E-06,320368,2.52E-06,2380752,1.59E-06,0,5.41E-05,0,17,16.9829,9,25,12,22
2021/11/6,13,4,8,0,2021/10/20,2725076,2487498,2098.7855,2021/11/6,8.080808081,1.683657578,0.32187988,0,0.158004234,2014.834106,83.951394,8.08E-05,160875,1.68E-05,237578,3.22E-06,2485399.215,1.58E-06,2014.834106,8.08E-05,83.951394,25.00675558,25.00035,16,35,19,32
2021/11/13,8,2,2,0,2021/10/27,2740292,2563007,6918.727729,2021/11/13,5.492279914,1.128127027,0.078244559,0,0,6607.384894,311.342835,5.49E-05,145659,1.13E-05,177285,7.82E-07,2556088.272,0,6607.384894,5.49E-05,311.342835,12.00541352,12.03125,6,19,8,17
2021/11/20,6,1,4,0,2021/11/3,2748931,2624704,14697.10864,2021/11/20,4.378922785,0.804977984,0.1532563,0,0.034475746,13962.25316,734.85548,4.38E-05,137020,8.05E-06,124227,1.53E-06,2610006.891,3.45E-07,13962.25316,4.38E-05,734.85548,11.02252424,11.02709,5,18,7,15
2021/11/27,5,1,0,0,2021/11/10,2754700,2664345,25968.27627,2021/11/27,3.809494785,1.106745615,0,0,0,24540.02108,1428.25519,3.81E-05,131251,1.11E-05,90355,0,2638376.724,0,24540.02108,3.81E-05,1428.25519,6.000000001,6.0393,2,11,3,9
2021/12/4,0,3,1,0,2021/11/17,2759734,2691107,41266.27601,2021/12/4,0,4.371457298,0.037738117,0,0.039106756,38790.29899,2475.97702,0,126217,4.37E-05,68627,3.77E-07,2649840.724,3.91E-07,38790.29899,0,2475.97702,4.015573108,4.00678,1,8,2,7
2021/12/11,4,1,6,0,2021/11/24,2764347,2709534,58113.9549,2021/12/11,3.289365481,1.824384726,0.226293831,0,0.101399877,54336.54776,3777.40714,3.29E-05,121604,1.82E-05,54813,2.26E-06,2651420.045,1.01E-06,54336.54776,3.29E-05,3777.40714,11.13150829,11.1611,5,18,7,16
2021/12/18,2,1,1,0,2021/12/1,2768056,2722665,75185.53134,2021/12/18,1.696424785,2.203079906,0.037771775,0,0,69922.54416,5262.98718,1.70E-05,117895,2.20E-05,45391,3.78E-07,2647479.469,0,69922.54416,1.70E-05,5262.98718,4.028398898,4.09789,1,8,2,7
2021/12/25,0,1,7,0,2021/12/8,2771484,2732398,98522.36774,2021/12/25,0,2.55846083,0.265768054,0,0.279143034,91133.19019,7389.17755,0,114467,2.56E-05,39086,2.66E-06,2633875.632,2.79E-06,91133.19019,0,7389.17755,8.261840992,8.26503,3,14,5,12
2022/1/1,6,2,14,0,2021/12/15,2775128,2740077,135335.0215,2022/1/1,5.414038602,5.705971299,0.53748126,0,0.268660979,124508.2197,10826.8018,5.41E-05,110823,5.71E-05,35051,5.37E-06,2604741.979,2.69E-06,124508.2197,5.41E-05,10826.8018,22.72740038,22.92778,14,33,17,29
2022/1/8,17,0,55,0,2021/12/22,2778729,2745892,241327.8268,2022/1/8,15.85495514,0,2.195990847,0,1.388169179,220814.9615,20512.8653,0.00015855,107222,0,32837,2.20E-05,2504564.173,1.39E-05,220814.9615,0.00015855,20512.8653,77.29953699,78.4391,62,96,67,90
2022/1/15,35,4,86,18,2021/12/29,2781009,2748600,378262.0645,2022/1/15,33.35175621,12.34225061,3.628174646,4.758605657,1.764227384,344218.4788,34043.5857,0.000333518,104942,0.000123423,32409,3.63E-05,2370337.936,1.76E-05,344218.4788,0.000333518,34043.5857,138.7240083,142.4316,120,166,127,158
2022/1/22,47,7,160,20,2022/1/5,2784243,2751869,482459.8707,2022/1/22,46.21072089,21.62228949,7.050293309,4.145422493,4.442418622,436626.183,45833.6877,0.000462107,101708,0.000216223,32374,7.05E-05,2269409.129,4.44E-05,436626.183,0.000462107,45833.6877,248.014836,254.572,224,287,234,275
2022/1/29,79,12,220,65,2022/1/12,2788138,2755578,701796.0205,2022/1/29,80.7663603,36.85503686,10.71194519,9.261950496,5.938698657,631616.4185,70179.602,0.000807664,97813,0.00036855,32560,0.000107119,2053781.98,5.94E-05,631616.4185,0.000807664,70179.602,386.176005,405.2769,366,445,380,431
2022/2/5,39,4,134,41,2022/1/19,2792340,2759405,1027097.376,2022/2/5,41.66177052,12.14513436,7.735346664,3.991831832,5.449293123,921565.5702,105531.8058,0.000416618,93611,0.000121451,32935,7.74E-05,1732307.624,5.45E-05,921565.5702,0.000416618,105531.8058,256.4495426,271.2289,239,304,250,292
2022/2/12,51,4,77,37,2022/1/26,2796433,2763227,1344705.015,2022/2/12,56.97178221,12.04601578,5.428185168,2.751532833,2.002389392,1204490.044,140214.971,0.000569718,89518,0.00012046,33206,5.43E-05,1418521.985,2.00E-05,1204490.044,0.000569718,140214.971,204.9930782,236.0686,206,267,216,256
2022/2/19,40,3,74,29,2022/2/2,2799624,2766425,1593644.478,2022/2/19,46.33544546,9.03641676,6.309791015,1.819728327,3.648903956,1424387.417,169257.061,0.000463354,86327,9.04E-05,33199,6.31E-05,1172780.522,3.65E-05,1424387.417,0.000463354,169257.061,217.5556361,247.3267,217,279,227,268
2022/2/26,14,0,34,12,2022/2/9,2802804,2769947,1791486.069,2022/2/26,16.83764898,0,3.474844925,0.66983496,2.577210382,1596953.793,194532.276,0.000168376,83147,0,32857,3.47E-05,978460.931,2.58E-05,1596953.793,0.000168376,194532.276,110.2513628,121.9399,101,144,108,136
2022/3/5,9,2,19,23,2022/2/16,2806133,2773590,1956728.123,2022/3/5,11.27565211,6.1457149,2.325974627,1.175431565,1.716443299,1738914.168,217813.955,0.000112757,79818,6.15E-05,32543,2.33E-05,816861.877,1.72E-05,1738914.168,0.000112757,217813.955,75.51299966,84.5281,67,103,73,96
2022/3/12,10,0,26,12,2022/2/23,2809658,2776652,2072702.957,2022/3/12,13.10736241,0,3.693449158,0.57895416,3.034253564,1835072.991,237629.966,0.000131074,76293,0,33006,3.69E-05,703949.043,3.03E-05,1835072.991,0.000131074,237629.966,112.5542299,122.7487,101,145,109,137
2022/3/19,15,1,18,10,2022/3/2,2813059,2779579,2154704.371,2022/3/19,20.57838995,2.986857826,2.880577825,0.46410079,1.596573047,1899460.03,255244.341,0.000205784,72892,2.99E-05,33480,2.88E-05,624874.629,1.60E-05,1899460.03,0.000205784,255244.341,96.0679363,116.9373,96,139,103,131
