Date,No dose,One dose,Two doses,Three or more doses,Date,NSW - Residence state - Number of people 50 and over with 1 dose,NSW - Residence state - Number of people 50 and over fully vaccinated,NSW - Residence state - Number of people 50 and over with three doses,Date,death_rate_0,death_rate_1,death_rate_2,death_rate_3,r_2a,N_b_eff,N_b_i_eff,1,2,3,4,5,6,7,8,9,10,d_simple,mean,PI(2.5%),PI(97.5%)
2021/8/14,11,3,6,0,2021/7/21,1629773,562037,0,2021/8/14,8.76E-06,2.81E-06,1.07E-05,,1.07E-05,0,0,8.76E-06,1256178,2.81E-06,1067736,1.07E-05,562037,1.07E-05,0,8.76E-06,0,2.00E+01,20.04744,12,29
2021/8/21,10,10,2,0,2021/7/28,1776096,722229,0,2021/8/21,9.01E-06,9.49E-06,2.77E-06,,2.77E-06,0,0,9.01E-06,1109855,9.49E-06,1053867,2.77E-06,722229,2.77E-06,0,9.01E-06,0,2.20E+01,21.98751,13,32
2021/8/28,7,8,4,0,2021/8/4,1891054,869282,0,2021/8/28,7.04E-06,7.83E-06,4.60E-06,,4.60E-06,0,0,7.04E-06,994897,7.83E-06,1021772,4.60E-06,869282,4.60E-06,0,7.04E-06,0,1.90E+01,18.9729,11,28
2021/9/4,25,9,7,0,2021/8/11,2010312,1036015,0,2021/9/4,2.86E-05,9.24E-06,6.76E-06,,6.76E-06,0,0,2.86E-05,875639,9.24E-06,974297,6.76E-06,1036015,6.76E-06,0,2.86E-05,0,4.10E+01,41.03093,29,54
2021/9/11,34,7,5,0,2021/8/18,2131524,1210778,0,2021/9/11,4.51E-05,7.60E-06,4.13E-06,,4.13E-06,0,0,4.51E-05,754427,7.60E-06,920746,4.13E-06,1210778,4.13E-06,0,4.51E-05,0,4.60E+01,46.03587,33,60
2021/9/18,50,9,5,0,2021/8/25,2250256,1386786,0,2021/9/18,7.87E-05,1.04E-05,3.61E-06,,3.45E-06,0,0,7.87E-05,635695,1.04E-05,863470,3.61E-06,1386786,3.45E-06,0,7.87E-05,0,6.40E+01,64.01909,49,80
2021/9/25,49,3,5,0,2021/9/1,2347662,1534366,0,2021/9/25,9.10E-05,3.69E-06,3.26E-06,,2.89E-06,0,0,9.10E-05,538289,3.69E-06,813296,3.26E-06,1534366,2.89E-06,0,9.10E-05,0,5.70E+01,57.01322,43,72
2021/10/2,56,13,9,0,2021/9/8,2447734,1691736,0,2021/10/2,0.000127791,1.72E-05,5.32E-06,,4.54E-06,0,0,1.28E-04,438217,1.72E-05,755998,5.32E-06,1691736,4.54E-06,0,1.28E-04,0,7.80E+01,78.10202,61,96
2021/10/9,42,13,10,0,2021/9/15,2524418,1847221,0,2021/10/9,0.000116172,1.92E-05,5.41E-06,,4.45E-06,0,0,1.16E-04,361533,1.92E-05,677197,5.41E-06,1847221,4.45E-06,0,1.16E-04,0,6.50E+01,64.94852,50,81
2021/10/16,17,8,11,0,2021/9/22,2581534,1991630,0,2021/10/16,5.58E-05,1.36E-05,5.52E-06,,4.96E-06,0,0,5.58E-05,304417,1.36E-05,589904,5.52E-06,1991630,4.96E-06,0,5.58E-05,0,3.60E+01,36.0014,25,48
