Date,t,I_mean,I_10%,I_90%,S_mean,S_10%,S_90%,D_mean,D_10%,D_90%
2021/7/31,-1,642.5809,494.382,808.9888,,,,,,
2021/8/7,0,655.0694,494.382,808.9888,2885951,2885951,2885951,,,
2021/8/14,1,518.209,382.0225,651.6854,2885308,2885142,2885457,28.59485,22,36
2021/8/21,2,2144.368,1865.169,2426.966,2884653,2884423,2884872,29.15059,22,36
2021/8/28,3,3463.907,3101.124,3820.225,2884135,2883884,2884400,23.0603,17,29
2021/9/4,4,6009.582,5550.562,6494.382,2881991,2881614,2882378,95.42436,83,108
2021/9/11,5,7218.519,6696.629,7730.337,2878527,2877996,2879052,154.1439,138,170
2021/9/18,6,9971.592,9370.787,10584.27,2872517,2871816,2873232,267.4264,247,289
2021/9/25,7,8852.535,8292.135,9438.202,2865299,2864423,2866176,321.2241,298,344
2021/10/2,8,4240.253,3842.697,4629.213,2855327,2854266,2856378,443.7359,417,471
2021/10/9,9,5523.737,5078.652,5977.528,2846475,2845277,2847681,393.9378,369,420
2021/10/16,10,3448.604,3101.124,3797.753,2842234,2840962,2843502,188.6912,171,206
2021/10/23,11,5145.454,4719.101,5595.506,2836711,2835367,2838041,245.8063,226,266
2021/10/30,12,3487.923,3123.596,3842.697,2833262,2831884,2834648,153.4629,138,169
2021/11/6,13,2779.731,2471.91,3101.124,2828117,2826670,2829547,228.9727,210,249
2021/11/13,14,2416.616,2112.36,2719.101,2824629,2823142,2826108,155.2126,139,171
2021/11/20,15,0,0,0,2821849,2820333,2823367,123.698,110,138
2021/11/27,16,2083.94,1820.225,2359.551,2819432,2817884,2820985,107.5394,94,121
2021/12/4,17,1075.627,876.4045,1280.899,2819432,2817884,2820985,0,0,0
2021/12/11,18,0,0,0,2817348,2815771,2818917,92.73533,81,105
2021/12/18,19,3424.63,3078.652,3775.281,2816273,2814693,2817861,47.86542,39,57
2021/12/25,20,32699.63,30735.77,34722.73,2816273,2814693,2817861,0,0,0
2022/1/1,21,67986.93,65168.54,70822.76,2845013,2844108,2845920,152.396,137,168
2022/1/8,22,91930.47,88655.31,95251.9,2812314,2810131,2814474,451.0914,424,479
2022/1/15,23,155300.8,150996.7,159623.1,2744327,2740765,2747867,937.8797,899,977
2022/1/22,24,75400.95,72417.54,78434.22,2652396,2647627,2657141,1268.181,1223,1314
2022/1/29,25,100001.7,96556.72,103515.8,2497096,2490876,2503309,2142.374,2083,2202
2022/2/5,26,77986.03,74954.69,81043.86,2421695,2414938,2428438,1040.156,999,1082
2022/2/12,27,27383.61,25588.98,29213.48,2321693,2314346,2329041,1379.524,1332,1428
2022/2/19,28,18109.55,16672.71,19572.31,2243707,2236003,2251390,1075.817,1034,1118
2022/2/26,29,20888.8,19282.35,22471.91,2216323,2208471,2224150,377.757,353,403
2022/3/5,30,32486.65,30518.3,34432.77,2198214,2190258,2206079,249.8213,230,270
2022/3/12,31,13343.18,12105.84,14642.99,2177325,2169314,2185278,288.161,266,310
2022/3/19,32,43730.05,41391.81,46031.17,2144838,2136723,2152912,448.1533,421,475
2022/3/26,33,37610.59,35520.12,39724.54,2131495,2123359,2139603,184.0692,167,202
2022/4/2,34,57484.85,54874.95,60094.24,2087765,2079462,2096067,603.256,571,635
2022/4/9,35,45575.15,43276.55,47915.91,2050154,2041741,2058607,518.8381,490,548
2022/4/16,36,31670.58,29720.91,33635.38,1992670,1984095,2001255,793.0036,757,829
2022/4/23,37,50149.02,47698.44,52627.76,1947094,1938371,1955807,628.7092,597,661
2022/4/30,38,38339.02,36172.53,40521.93,1915424,1906617,1924213,436.8957,410,464
2022/5/7,39,36767.09,34650.24,38854.66,1865275,1856368,1874129,691.8057,658,726
2022/5/14,40,35175.86,33127.94,37259.88,1826936,1817933,1835901,528.8868,499,559
2022/5/21,41,53122.86,50598.04,55672.35,1790169,1781081,1799206,507.202,478,536
2022/5/28,42,31466.66,29503.44,33417.91,1754993,1745841,1764050,485.251,457,514
2022/6/4,43,2966.354,2392.171,3552.012,1701870,1692637,1711028,732.8298,698,768
2022/6/11,44,37627.56,35520.12,39724.54,1670403,1661142,1679581,434.0826,407,461
2022/6/18,45,52140.02,49655.67,54657.48,1667437,1658174,1676612,40.92086,33,49
2022/6/25,46,37101.34,35012.69,39217.11,1629809,1620511,1639041,519.0722,490,548
2022/7/2,47,,,,1577669,1568368,1586951,719.2716,685,754
2022/7/9,48,,,,,,,511.813,483,541
