Date,No dose,One dose,Two doses,Three or more doses,Date,NSW - Residence state - Number of people 50 and over with 1 dose,NSW - Residence state - Number of people 50 and over fully vaccinated,NSW - Residence state - Number of people 50 and over with three doses,Date,death_rate_0,death_rate_1,death_rate_2,death_rate_3,1,simple_death,mean,PI(2.5%),PI(97.5%),PI(10%),PI(90%)
2021/8/14,11,3,6,0,2021/7/28,1776096,722229,0,2021/8/14,0.991120462,0.284665902,0.830761434,,9.91E-06,2.86E+01,28.62068,19,40,22,36
2021/8/21,10,10,2,0,2021/8/4,1891054,869282,0,2021/8/21,1.005129174,0.97869192,0.230074935,,1.01E-05,2.90E+01,29.20401,19,40,22,36
2021/8/28,7,8,4,0,2021/8/11,2010312,1036015,0,2021/8/28,0.799416198,0.821104858,0.386094796,,7.99E-06,2.31E+01,23.04402,14,33,17,29
2021/9/4,25,9,7,0,2021/8/18,2131524,1210778,0,2021/9/4,3.313773235,0.97746827,0.578140667,,3.31E-05,9.56E+01,95.45546,77,115,83,108
2021/9/11,34,7,5,0,2021/8/25,2250256,1386786,0,2021/9/11,5.348476864,0.810682479,0.360545895,,5.35E-05,1.54E+02,154.1328,130,179,138,170
2021/9/18,50,9,5,0,2021/9/1,2347662,1534366,0,2021/9/18,9.288690648,1.106608172,0.325867492,,9.29E-05,2.68E+02,267.4076,236,300,247,289
2021/9/25,49,3,5,0,2021/9/8,2447734,1691736,0,2021/9/25,11.18167483,0.396826447,0.295554389,,0.000111817,3.23E+02,321.1688,286,357,298,344
2021/10/2,56,13,9,0,2021/9/15,2524418,1847221,0,2021/10/2,15.48959569,1.91967773,0.487218367,,0.000154896,4.47E+02,443.7884,403,486,417,471
2021/10/9,42,13,10,0,2021/9/22,2581534,1991630,0,2021/10/9,13.79686417,2.203748407,0.502101294,,0.000137969,3.98E+02,393.9224,356,433,369,419
2021/10/16,17,8,11,0,2021/9/29,2629394,2128851,0,2021/10/16,6.626207821,1.598264285,0.516710658,,6.63E-05,1.91E+02,188.7668,162,216,171,206
