Date,No dose,One dose,Two doses,Three or more doses,Date,NSW - Residence state - Number of people 50 and over with 1 dose,NSW - Residence state - Number of people 50 and over fully vaccinated,NSW - Residence state - Number of people 50 and over with three doses,Date,death_rate_0,death_rate_1,death_rate_2,death_rate_3,1,d_simple,mean,PI(2.5%),PI(97.5%)
2021/8/14,11,3,6,0,2021/7/21,1629773,562037,0,2021/8/14,8.76E-06,2.81E-06,1.07E-05,,8.76E-06,25.2714671,25.26109,16,36
2021/8/21,10,10,2,0,2021/7/28,1776096,722229,0,2021/8/21,9.01E-06,9.49E-06,2.77E-06,,9.01E-06,26.00295534,26.00212,17,36
2021/8/28,7,8,4,0,2021/8/4,1891054,869282,0,2021/8/28,7.04E-06,7.83E-06,4.60E-06,,7.04E-06,20.30527482,20.28369,12,30
2021/9/4,25,9,7,0,2021/8/11,2010312,1036015,0,2021/9/4,2.86E-05,9.24E-06,6.76E-06,,2.86E-05,82.39557055,82.51955,65,101
2021/9/11,34,7,5,0,2021/8/18,2131524,1210778,0,2021/9/11,4.51E-05,7.60E-06,4.13E-06,,4.51E-05,130.0620656,130.0052,108,153
2021/9/18,50,9,5,0,2021/8/25,2250256,1386786,0,2021/9/18,7.87E-05,1.04E-05,3.61E-06,,7.87E-05,226.9917964,226.7163,198,257
2021/9/25,49,3,5,0,2021/9/1,2347662,1534366,0,2021/9/25,9.10E-05,3.69E-06,3.26E-06,,9.10E-05,262.7057194,261.4933,231,293
2021/10/2,56,13,9,0,2021/9/8,2447734,1691736,0,2021/10/2,0.000127791,1.72E-05,5.32E-06,,1.28E-04,368.7973219,367.0947,330,405
2021/10/9,42,13,10,0,2021/9/15,2524418,1847221,0,2021/10/9,0.000116172,1.92E-05,5.41E-06,,1.16E-04,335.2666064,331.7794,297,368
2021/10/16,17,8,11,0,2021/9/22,2581534,1991630,0,2021/10/16,5.58E-05,1.36E-05,5.52E-06,,5.58E-05,161.1643469,159.2047,135,184
2021/10/23,19,3,7,0,2021/9/29,2629394,2128851,0,2021/10/23,7.41E-05,5.99E-06,3.29E-06,,7.41E-05,213.7266533,211.1641,183,240
2021/10/30,10,1,6,0,2021/10/6,2666404,2243112,0,2021/10/30,4.55E-05,2.36E-06,2.67E-06,,4.55E-05,131.4502589,129.4606,108,152
2021/11/6,13,4,8,0,2021/10/13,2701120,2380752,0,2021/11/6,7.03E-05,1.25E-05,3.36E-06,,7.03E-05,202.9819835,199.794,172,228
2021/11/13,8,2,2,0,2021/10/20,2725076,2487498,2098.7855,2021/11/13,4.97E-05,8.42E-06,8.05E-07,0,4.97E-05,143.5127148,140.9776,118,165
2021/11/20,6,1,4,0,2021/10/27,2740292,2563007,6918.727729,2021/11/20,4.12E-05,5.64E-06,1.56E-06,0,4.12E-05,118.8783803,116.6516,96,138
2021/11/27,5,1,0,0,2021/11/3,2748931,2624704,14697.10864,2021/11/27,3.65E-05,8.05E-06,0,0,3.65E-05,105.3113049,103.3085,84,124
2021/12/4,0,3,1,0,2021/11/10,2754700,2664345,25968.27627,2021/12/4,0,3.32E-05,3.79E-07,0,0.00E+00,0,0,0,0
2021/12/11,4,1,6,0,2021/11/17,2759734,2691107,41266.27601,2021/12/11,3.17E-05,1.46E-05,2.26E-06,0,3.17E-05,91.45997766,89.68384,72,109
2021/12/18,2,1,1,0,2021/11/24,2764347,2709534,58113.9549,2021/12/18,1.64E-05,1.82E-05,3.77E-07,0,1.64E-05,47.464738,46.37484,34,60
2021/12/25,0,1,7,0,2021/12/1,2768056,2722665,75185.53134,2021/12/25,0,2.20E-05,2.64E-06,0,0.00E+00,0,0,0,0
2022/1/1,6,2,14,0,2021/12/8,2771484,2732398,98522.36774,2022/1/1,5.24E-05,5.12E-05,5.32E-06,0,5.24E-05,151.2724715,148.0648,125,172
2022/1/8,17,0,55,0,2021/12/15,2775128,2740077,135335.0215,2022/1/8,0.000153398,0,2.11E-05,0,1.53E-04,442.69842,436.1087,396,477
2022/1/15,35,4,86,18,2021/12/22,2778729,2745892,241327.8268,2022/1/15,0.000326426,0.000121814,3.43E-05,7.46E-05,3.26E-04,942.0481338,918.8455,860,979
2022/1/22,47,7,160,20,2021/12/29,2781009,2748600,378262.0645,2022/1/22,0.000447866,0.000215989,6.75E-05,5.29E-05,4.48E-04,1292.520602,1233.116,1165,1303
2022/1/29,79,12,220,65,2022/1/5,2784243,2751869,482459.8707,2022/1/29,0.000776733,0.000370668,9.69E-05,0.000134726,7.77E-04,2241.614514,2069.037,1980,2158
2022/2/5,39,4,134,41,2022/1/12,2788138,2755578,701796.0205,2022/2/5,0.00039872,0.00012285,6.52E-05,5.84E-05,3.99E-04,1150.686402,1002.867,942,1065
2022/2/12,51,4,77,37,2022/1/19,2792340,2759405,1027097.376,2022/2/12,0.000544808,0.000121451,4.44E-05,3.60E-05,5.45E-04,1572.288524,1329.886,1259,1402
2022/2/19,40,3,74,29,2022/1/26,2796433,2763227,1344705.015,2022/2/19,0.000446838,9.03E-05,5.22E-05,2.16E-05,4.47E-04,1289.551152,1047.789,985,1112
2022/2/26,14,0,34,12,2022/2/2,2799624,2766425,1593644.478,2022/2/26,0.000162174,0,2.90E-05,7.53E-06,1.62E-04,468.026388,367.421,330,406
2022/3/5,9,2,19,23,2022/2/9,2802804,2769947,1791486.069,2022/3/5,0.000108242,6.09E-05,1.94E-05,1.28E-05,1.08E-04,312.3811923,242.0875,212,273
2022/3/12,10,0,26,12,2022/2/16,2806133,2773590,1956728.123,2022/3/12,0.000125285,0,3.18E-05,6.13E-06,1.25E-04,361.5664386,277.9287,246,311
2022/3/19,15,1,18,10,2022/2/23,2809658,2776652,2072702.957,2022/3/19,0.00019661,3.03E-05,2.56E-05,4.82E-06,1.97E-04,567.4080846,434.0739,394,475
2022/3/26,6,0,12,18,2022/3/2,2813059,2779579,2154704.371,2022/3/26,8.23E-05,0,1.92E-05,8.35E-06,8.23E-05,237.5529002,178.8799,153,205
2022/4/2,19,1,25,26,2022/3/9,2815990,2782146,2213902.279,2022/4/2,0.00027158,2.95E-05,4.40E-05,1.17E-05,2.72E-04,783.7662269,587.3077,540,635
2022/4/9,16,4,24,28,2022/3/16,2818841,2785230,2254317.671,2022/4/9,0.000238415,0.000119009,4.52E-05,1.24E-05,2.38E-04,688.0526896,503.7417,460,548
2022/4/16,24,0,19,40,2022/3/23,2821563,2788245,2287457.218,2022/4/16,0.00037274,0,3.79E-05,1.75E-05,3.73E-04,1075.710132,775.9063,722,831
2022/4/23,19,6,13,40,2022/3/30,2823910,2790707,2316734.532,2022/4/23,0.000306249,0.000180707,2.74E-05,1.73E-05,3.06E-04,883.8198772,619.3073,571,669
2022/4/30,13,2,14,52,2022/4/6,2825737,2792561,2338968.959,2022/4/30,0.000215897,6.03E-05,3.09E-05,2.22E-05,2.16E-04,623.0671106,427.6521,388,469
2022/5/7,20,3,17,61,2022/4/13,2828015,2794828,2355230.139,2022/5/7,0.000345209,9.04E-05,3.87E-05,2.59E-05,3.45E-04,996.2548329,672.1034,621,724
2022/5/14,15,1,14,58,2022/4/20,2830573,2797345,2365222.004,2022/5/14,0.000270866,3.01E-05,3.24E-05,2.45E-05,2.71E-04,781.7050995,514.5737,470,560
2022/5/21,14,1,23,47,2022/4/27,2833034,2799763,2372426.911,2022/5/21,0.000264565,3.01E-05,5.38E-05,1.98E-05,2.65E-04,763.5223841,493.3842,450,537
2022/5/28,13,1,18,65,2022/5/4,2835505,2802224,2380224.901,2022/5/28,0.000257701,3.00E-05,4.27E-05,2.73E-05,2.58E-04,743.713337,471.1148,429,514
2022/6/4,19,0,11,53,2022/5/11,2837982,2804650,2387641.647,2022/6/4,0.000396089,0,2.64E-05,2.22E-05,3.96E-04,1143.093852,709.6422,658,763
2022/6/11,11,1,16,50,2022/5/18,2840446,2807004,2394326.038,2022/6/11,0.000241732,2.99E-05,3.88E-05,2.09E-05,2.42E-04,697.6257774,421.089,381,462
2022/6/18,1,2,14,58,2022/5/25,2842833,2809310,2400824.017,2022/6/18,2.32E-05,5.97E-05,3.43E-05,2.42E-05,2.32E-05,66.93146714,39.63232,28,52
2022/6/25,12,1,17,73,2022/6/1,2845135,2811541,2406813.116,2022/6/25,0.000294002,2.98E-05,4.20E-05,3.03E-05,2.94E-04,848.4763818,501.9281,459,547
2022/7/2,16,1,17,78,2022/6/8,2847403,2813729,2412172.069,2022/7/2,0.000415067,2.97E-05,4.23E-05,3.23E-05,4.15E-04,1197.86282,693.3079,642,746
2022/7/9,11,3,18,60,2022/6/15,2849690,2815923,2416486.39,2022/7/9,0.000303356,8.88E-05,4.51E-05,2.48E-05,3.03E-04,875.4711949,490.9745,448,535
