date,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,,cases/1000,Israel,Germany,cases/1000,date
1/01/2021,,,,9.09,0.023286,,,0,1-Jan
2/01/2021,,,,9.09,0.025143,,,0,
3/01/2021,,,,9.09,0.023857,,,0,
4/01/2021,,,,9.09,0.024,,,0,
5/01/2021,,,,9.09,0.022143,,,0,
6/01/2021,,,,9.09,0.020143,,,0,
7/01/2021,,,,9.09,0.020857,,,0,
8/01/2021,,,,9.09,0.017429,,,0,
9/01/2021,,,,9.09,0.015857,,,0,
10/01/2021,,,,9.09,0.015714,,,0,
11/01/2021,,,,9.09,0.016714,,,0,
12/01/2021,,,,9.09,0.016286,,,0,
13/01/2021,,,,9.09,0.016286,,,0,
14/01/2021,,,,9.09,0.014,,,0,
15/01/2021,,,,9.09,0.015286,,,0,
16/01/2021,,,,9.09,0.016143,,,0,
17/01/2021,,,,9.09,0.015286,,,0,
18/01/2021,,,,9.09,0.013857,,,0,
19/01/2021,,,,9.09,0.012857,,,0,
20/01/2021,,,,9.09,0.012714,,,0,
21/01/2021,,,,9.09,0.012286,,,0,
22/01/2021,,,,9.09,0.010143,,,0,
23/01/2021,,,,9.09,0.008286,,,0,
24/01/2021,,,,9.09,0.008,,,0,
25/01/2021,,,,9.09,0.007,,,0,
26/01/2021,,,,9.09,0.006571,,,0,
27/01/2021,,,,9.09,0.006429,,,0,
28/01/2021,,,,9.09,0.006286,,,0,
29/01/2021,,,,9.09,0.006571,,,0,
30/01/2021,,,,9.09,0.006429,,,0,
31/01/2021,,,,9.09,0.005857,,,0,
1/02/2021,,,,9.09,0.006143,,,0,
2/02/2021,,,,9.09,0.006143,,,0,
3/02/2021,,,,9.09,0.006286,,,0,
4/02/2021,,,,9.09,0.006143,,,0,
5/02/2021,,,,9.09,0.006,,,0,
6/02/2021,,,,9.09,0.005714,,,0,
7/02/2021,,,,9.09,0.005571,,,0,
8/02/2021,,,,9.09,0.005286,,,0,
9/02/2021,,,,9.09,0.006,,,0,
10/02/2021,,,,9.09,0.005857,,,0,
11/02/2021,,,,9.09,0.006429,,,0,
12/02/2021,,,,9.09,0.006286,,,0,
13/02/2021,,,,9.09,0.006714,,,0,
14/02/2021,,,,9.09,0.006143,,,0,
15/02/2021,,,,9.09,0.006429,,,0,
16/02/2021,,,,9.09,0.005714,,,0,
17/02/2021,,,,9.09,0.004714,,,0,
18/02/2021,,,,9.09,0.004429,,,0,
19/02/2021,,,,9.09,0.004,,,0,
20/02/2021,,,,9.09,0.004,,,0,
21/02/2021,0,,,9.09,0.004286,,,0,
22/02/2021,0.01,,,9.09,0.004571,,,0,
23/02/2021,0.03,0,,9.09,0.004,,,0,
24/02/2021,0.06,0,,9.09,0.005,,,0,
25/02/2021,0.09,0,,9.09,0.005571,,,0,
26/02/2021,0.11,0,,9.09,0.006429,,,0,
27/02/2021,0.12,0,,9.09,0.006286,,,0,
28/02/2021,0.13,0,,9.09,0.006857,,,0,
1/03/2021,0.16,0,,9.09,0.007,,,0,1-Mar
2/03/2021,0.2,0,,9.09,0.008143,,,0,
3/03/2021,0.23,0,,9.09,0.008571,,,0,
4/03/2021,0.27,0,,9.09,0.009143,,,0,
5/03/2021,0.29,0,,9.09,0.009143,,,0,
6/03/2021,0.31,0,,9.09,0.009143,,,0,
7/03/2021,0.33,0,,9.09,0.009714,,,0,
8/03/2021,0.36,0,,9.09,0.010714,,,0,
9/03/2021,0.41,0,,9.09,0.011143,,,0,
