Date,NSW - Residence state - Number of people 70 and over with 1 dose,NSW - Residence state - Number of people 70 and over fully vaccinated,NSW_Total_population_70+
2021/11/3,968530,922760,1007648
2021/11/10,971363,936358,1007648
2021/11/17,973781,946159,1007648
2021/11/24,975948,953115,1007648
2021/12/1,977950,958216,1007648
2021/12/8,979710,962277,1007648
2021/12/15,981655,965631,1007648
2021/12/22,983515,968385,1007648
2021/12/29,985031,970153,1007648
2022/1/5,987187,972457,1007648
2022/1/12,989037,974460,1007648
2022/1/19,991132,976665,1007648
2022/1/26,993070,978766,1007648
