Date,1st dose (NSW_50+),2nd dose (NSW_50+),3rd dose (NSW_50+),3rd dose (VIC_50+),,Date,NSW - Residence state - Number of people 50 and over with 1 dose,NSW - Residence state - Number of people 50 and over fully vaccinated,NSW - Residence state - Number of people 50 and over with three doses
2021/7/28,0.615428328,0.250256848,,,,2021/7/28,1776096,722229,0
2021/8/4,0.655261992,0.301211628,,,,2021/8/4,1891054,869282,0
2021/8/11,0.696585632,0.358985652,,,,2021/8/11,2010312,1036015,0
2021/8/18,0.738586345,0.41954212,,,,2021/8/18,2131524,1210778,0
2021/8/25,0.779727722,0.480529988,,,,2021/8/25,2250256,1386786,0
2021/9/1,0.813479508,0.531667378,,,,2021/9/1,2347662,1534366,0
2021/9/8,0.84815508,0.586197063,,,,2021/9/8,2447734,1691736,0
2021/9/15,0.874726563,0.640073584,,,,2021/9/15,2524418,1847221,0
2021/9/22,0.894517613,0.690112202,,,,2021/9/22,2581534,1991630,0
2021/9/29,0.911101401,0.737660134,,,,2021/9/29,2629394,2128851,0
2021/10/6,0.923925597,0.777252282,,,,2021/10/6,2666404,2243112,0
2021/10/13,0.935954907,0.824945399,,0.000307081,,2021/10/13,2701120,2380752,0
2021/10/20,0.94425581,0.861933553,0.000727242,0.001759304,,2021/10/20,2725076,2487498,2098.7855
2021/10/27,0.949528249,0.888097892,0.002397382,0.004107943,,2021/10/27,2740292,2563007,6918.727729
2021/11/3,0.952521716,0.909476287,0.00509264,0.007555242,,2021/11/3,2748931,2624704,14697.10864
2021/11/10,0.954520711,0.92321214,0.00899817,0.012341355,,2021/11/10,2754700,2664345,25968.27627
2021/11/17,0.956265023,0.93248534,0.014299022,0.018049283,,2021/11/17,2759734,2691107,41266.27601
2021/11/24,0.957863456,0.93887041,0.020136847,0.023755941,,2021/11/24,2764347,2709534,58113.9549
2021/12/1,0.959148648,0.943420384,0.026052255,0.030597454,,2021/12/1,2768056,2722665,75185.53134
2021/12/8,0.960336471,0.946792929,0.034138614,0.041436295,,2021/12/8,2771484,2732398,98522.36774
2021/12/15,0.96159914,0.94945375,0.046894428,0.066537908,,2021/12/15,2775128,2740077,135335.0215
2021/12/22,0.962846909,0.951468684,0.083621595,0.115192646,,2021/12/22,2778729,2745892,241327.8268
2021/12/29,0.963636943,0.952407023,0.131070162,0.153851112,,2021/12/29,2781009,2748600,378262.0645
2022/1/5,0.964757544,0.953539752,0.167175351,0.206195779,,2022/1/5,2784243,2751869,482459.8707
2022/1/12,0.966107186,0.954824943,0.243176693,0.315602773,,2022/1/12,2788138,2755578,701796.0205
2022/1/19,0.967563205,0.956151023,0.355895639,0.425974318,,2022/1/19,2792340,2759405,1027097.376
2022/1/26,0.968981455,0.957475369,0.465948665,0.520633471,,2022/1/26,2796433,2763227,1344705.015
2022/2/2,0.970087157,0.958583496,0.55220774,0.589244813,,2022/2/2,2799624,2766425,1593644.478
2022/2/9,0.971189047,0.959803891,0.620761083,0.650192964,,2022/2/9,2802804,2769947,1791486.069
2022/2/16,0.972342566,0.961066214,0.678018484,0.694685658,,2022/2/16,2806133,2773590,1956728.123
2022/2/23,0.973564,0.962127216,0.718204487,0.724718542,,2022/2/23,2809658,2776652,2072702.957
2022/3/2,0.974742468,0.963141439,0.746618487,0.747222663,,2022/3/2,2813059,2779579,2154704.371
2022/3/9,0.975758078,0.964030921,0.767130932,0.762441477,,2022/3/9,2815990,2782146,2213902.279
2022/3/16,0.976745967,0.965099546,0.781135117,0.773887432,,2022/3/16,2818841,2785230,2254317.671
2022/3/23,0.977689157,0.966144262,0.792618176,0.784446369,,2022/3/23,2821563,2788245,2287457.218
2022/3/30,0.978502407,0.966997361,0.802762948,0.792801127,,2022/3/30,2823910,2790707,2316734.532
2022/4/6,0.979135474,0.967639783,0.810467315,0.798749018,,2022/4/6,2825737,2792561,2338968.959
2022/4/13,0.979924815,0.968425313,0.816101915,0.802887631,,2022/4/13,2828015,2794828,2355230.139
2022/4/20,0.980811178,0.969297469,0.819564159,0.805267004,,2022/4/20,2830573,2797345,2365222.004
2022/4/27,0.98166393,0.970135321,0.822060704,0.807884307,,2022/4/27,2833034,2799763,2372426.911
2022/5/4,0.982520147,0.970988073,0.824762756,0.810520914,,2022/5/4,2835505,2802224,2380224.901
2022/5/11,0.983378443,0.971828697,0.827332705,0.812854567,,2022/5/11,2837982,2804650,2387641.647
2022/5/18,0.984232234,0.972644373,0.829648888,0.815066492,,2022/5/18,2840446,2807004,2394326.038
2022/5/25,0.985059344,0.973443416,0.831900478,0.817171739,,2022/5/25,2842833,2809310,2400824.017
2022/6/1,0.985857002,0.974216471,0.833975738,0.819031626,,2022/6/1,2845135,2811541,2406813.116
2022/6/8,0.986642878,0.974974627,0.835832649,0.820649645,,2022/6/8,2847403,2813729,2412172.069
2022/6/15,0.987435338,0.975734862,0.837327588,0.82191518,,2022/6/15,2849690,2815923,2416486.39
2022/6/22,0.988251706,0.976524203,0.838650421,0.823175192,,2022/6/22,2852046,2818201,2420304.02
2022/6/29,,,0.839921776,0.82430357,,2022/6/29,,,
2022/7/6,,,0.840970213,0.825363178,,2022/7/6,,,
2022/7/13,,,0.842147967,0.826821624,,2022/7/13,,,
2022/7/20,,,0.843809238,0.828653761,,2022/7/20,,,
2022/7/27,,,0.8456235,0.830300482,,2022/7/27,,,
2022/8/3,,,0.847212496,0.83162323,,2022/8/3,,,
2022/8/10,,,0.848427282,0.832547078,,2022/8/10,,,
